id,created_at,lat,lng,streamer
5,2025-09-08T15:42:59+02:00,43.64269091790358,3.936282828766854,Team
6,2025-09-08T16:05:18+02:00,43.65621146463413,3.9457670961616635,Team
4,2025-09-08T16:15:00+02:00,43.612952,3.883968,Team
7,2025-09-08T16:16:00+02:00,43.65909277895777,3.950998703748391,Team
8,2025-09-08T16:29:38+02:00,43.65868389406897,3.955644516911745,Team
9,2025-09-08T16:42:13+02:00,43.65823252653277,3.965057300156917,Team
10,2025-09-08T16:44:19+02:00,43.65895362965769,3.9667744353526593,Team
11,2025-09-08T16:50:45+02:00,43.660561420696695,3.971923206634293,Team
12,2025-09-08T16:59:21+02:00,43.662684387528316,3.9790276981859103,Team
13,2025-09-08T17:02:54+02:00,43.66378091210412,3.9820606201402855,Team
14,2025-09-09T11:24:00+02:00,43.80902763368852,4.088398174538358,Team
15,2025-09-09T11:44:00+02:00,43.82558200261885,4.0953732921399615,Team
16,2025-09-09T11:49:00+02:00,43.82830002015621,4.095599823064994,Team
17,2025-09-09T12:12:00+02:00,43.83196118521773,4.094657834009359,Team
18,2025-09-09T12:17:00+02:00,43.83483089886681,4.09592454838918,Team
19,2025-09-09T12:25:00+02:00,43.83879933186415,4.099276151811762,Team
20,2025-09-09T12:30:00+02:00,43.84282716850938,4.0985533517071815,Team
